"","Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0."
"79","84","H",1.479035," 0.342845243",1.2205756,"-0.0153473940",0.8811614,1.368374,0.7411594,0.4670593
"80","85","H",1.610199," 0.711596250",1.7390313," 0.3955653867",1.0867271,1.767824,1.0547922,1.5787329
"81","86","H",1.369932," 0.264014107",0.949513,"-0.1318283011",0.8825872,1.432999,0.7147273,0.7145377
"82","87","H",1.958244," 0.939046911",1.813649," 0.5702624270",1.2980324,1.981803,1.2514327,1.7132619
"83","88","H",1.428977," 0.319729100",1.4200935," 0.0453798307",0.9025123,1.493586,0.7757059,1.6758513
"84","90","H",1.856024," 0.738187011",1.6459638," 0.4630472746",1.3444088,1.933822,1.2290031,1.1996961
"85","91","H",2.105329," 0.723615265",2.0030351," 0.5220297842",1.5192306,2.060879,1.3396711,1.7906192
"86","92","H",1.990956," 0.758182218",1.85447," 0.3311989839",1.3434831,1.833305,1.1511165,2.1368025
"87","93","H",1.993313," 1.002180812",1.7106422," 0.3787518461",1.3684364,1.971758,1.2435845,1.6679368
"88","94","H",1.806147," 0.765144219",1.4213278," 0.1591640795",1.1929494,1.71164,1.0865421,1.1239846
"89","95","H",1.424961," 0.622177876",1.1911641,"-0.0064079107",0.8831372,1.435744,0.7589109,1.0713795
"90","96","H",1.619192," 0.634653359",1.3033282," 0.2342566448",0.9666937,1.555802,0.888355,1.8017004
"91","97","H",1.898911," 0.879290301",1.5652389," 0.4386363541",1.2345148,1.851928,1.2162867,1.8760289
"92","98","H",1.640952," 0.642906382",1.5519106," 0.2369354169",1.0285306,1.628986,0.950795,1.4960382
"93","99","H",1.845879," 0.685892863",1.4796778," 0.2804772376",1.2128152,1.727853,1.0565101,1.9312618
"94","100","H",1.771149," 0.561732603",1.5914983," 0.1930148037",1.1045478,1.67433,0.9980002,1.4001896
"95","101","H",1.823422," 0.660833248",1.5845887," 0.3656355021",1.0649073,1.706922,1.0691603,2.0358564
"96","103","H",1.494246," 0.307282513",1.2908044,"-0.1553327489",0.515135,1.300825,0.6420329,1.0459164
"97","104","H",2.027346," 0.734432930",1.9052689," 0.4530111068",1.2750938,1.809205,1.1860624,1.8179479
"98","105","H",1.685552," 0.338485765",1.1226265," 0.0372792841",1.0543734,1.470647,0.8746778,2.1103076
"99","106","H",1.666497," 0.698507253",1.3767905," 0.2644927555",1.0440789,1.678456,0.9646661,1.5218959
"100","107","H",1.638813," 0.445758431",1.3567766," 0.0497295173",1.0187517,1.537557,0.8454854,1.8353605
