"Sample","Label","X1.Methyladenosine..282.1...150.0.","X1.Methylhistamine..126.0...109.0.","X2.Aminoadipate..160.1...116.0.","X2..Deoxyuridine..229.1...113.0.","X3.Nitro.tyrosine..225.0...179.3.","X4.Pyridoxic.acid..182.1...138.0.","X5.Hydroxytryptophan..221.0...134.0.","Acetoacetate..101.0...57.0.","Acetylcholine..146.1...87.0.","Aconitate..173.0...129.0.","Adenosine..268.1...136.0.","Adenylosuccinate..462.1...79.0.","Adipic.Acid..144.9...83.0.","Alanine..90.0...44.0.","Allantoin..157.0...114.0.","Alpha.Ketoglutaric.Acid..145.0...101.0.","Aminoisobutyrate..104.1...86.0.","AMP..346.1...134.0.","Anthranilate..136.0...118.0.","Arginine..175.1...70.0.","Asparagine..133.1...74.0.","Aspartic.Acid..132.0...88.0.","Betaine..118.0...58.0.","Biotin..243.1...200.0.","Carnitine..163.1...85.0.","Choline..104.1...60.0.","Citraconic.Acid..129.0...85.0.","Citrulline..174.0...131.0.","Creatinine..114.1...44.0.","Cystamine..153.0...108.0.","Cystathionine..221.1...134.0.","Cystine..239.0...97.0.","Cytidine..244.1...112.0.","Cytosine..112.0...95.0.","D.GA3P.DHAP..168.9...78.8.","Dimethylglycine..104.1...58.0.","D.Leucic.Acid..133.1...87.0.","DTMP..321.1...79.0.","Epinephrine..184.1...166.3.","Erythrose..199.0...97.0.","F16BP.F26BP..339.0...79.0.","Fructose..179.0...89.0..3..","Fumaric..115.0...71.0.","G16BP..339.0...79.0..2..","gama.Aminobutyrate..102.1...85.0.","Glucoronate..193.0...113.0.","Glucose..179.0...89.0.","Glutamic.acid..148.1...84.0.","Glutamine..147.1...84.0.","Glutaric.Acid..131.0...87.0.","Glyceraldehyde..89.0...59.0.","Glycerate..105.0...75.0.","Glycerol.3.P..171.0...79.0.","Glycine..76.0...30.2.","Glycochenodeoxycholate..448.3...74.0.","Glycocholate..464.3...74.0.","Guanidinoacetate..116.1...70.0.","Guanosine..284.1...152.0.","Histidine..156.1...110.0.","Homogentisate..167.0...123.0.","Homovanilate..181.0...137.0.","Hydroxyproline.Aminolevulinate..132.1...86.2.","Hypoxanthine..135.0...92.0.","Hyppuric.Acid..178.0...134.0.","IMP..347.0...79.0.","Inosine..269.1...137.0.","Kynorenate..188.0...144.0.","lactate..89.0...43.0.","Leucine.iso.Leucine..132.1...86.2..2..","Linoleic.Acid..277.1...259.0.","Linolenic.Acid..279.1...261.0.","L.Kynurenine..209.1...94.0.","Lysine..147.1...84.0..2..","Malate..133.0...115.0.","Maleic.Acid..115.0...71.0..2..","Malonic.Acid.3HBA..103.0...59.0.","Margaric.Acid..269.1...251.3.","Methionine..150.1...61.0.","MethylSuccinate..131.0...113.0.","N2.N2.Dimethylguanosine..312.1...180.0.","N.AcetylGlycine..116.0...74.0.","Niacinamide..123.0...80.0.","OH.Phenylpyruvate..179.0...107.0.","Ornithine..133.1...70.0.","Orotate..155.0...111.0.","Oxalic.Acid..89.0...61.0.","Oxaloacetate..131.0...87.0..2..","Pentothenate..218.1...88.0.","PEP..166.9...79.0.","Phenylalanine..166.1...120.2.","Proline..116.1...70.0.","Propionate..73.0...55.0.","Pyridoxal.5.P..246.0...96.9.","Pyroglutamic.Acid..130.0...83.4.","Pyruvate..87.0...43.0.","Reduced.glutatione..306.1...143.0.","Salicylurate..196.1...152.0.","Serine..106.0...60.0.","Shikimic.Acid..173.0...93.0.","Sorbitol..183.0...91.0.","Succinate.Methylmalonate..117.0...73.0.","Taurine..126.0...108.0.","Threonine..120.1...102.0.","Trimethylamine.N.oxide..76.1...58.0.","Tryptophan..205.1...146.0.","Tyrosine..182.1...136.3.","Urate..167.0...124.0.","Uridine..245.0...113.0.","Valine..118.1...72.0.","Xanthine..151.0...108.0.","Xanthosine..283.1...151.0.","Xanthurenate..204.0...160.0."
"173","P","1.380098"," 0.406439754","1.2982179"," 0.0638444830","0.9141864","1.447720","0.7908655","0.9598038","2.182488","1.606360"," 0.47307895"," 0.73266372","0.6804990","2.591754"," 1.30445665","2.053621","0.6066115","1.3106911"," 0.78156130","3.040296","1.851349","2.077502","3.490874","1.0601883","0.8953459","2.955944","1.773059","2.877652","3.011631","0.7722400","-0.484520024","1.2489831","-0.0167044396","-0.1647703040","1.944945","2.051894"," 0.409858243","1.3297903","1.436391","0.9187308","1.885200","1.7489196","2.107179","1.639701","0.24958807","1.5636294","3.824439","2.344589","3.333891","1.276239","0.5711781","1.7736816","1.1965292","1.1588808"," 0.84524566"," 0.304530544"," 0.6137941","-0.7991361658","3.074290","1.975685","1.809012","1.876975","2.469375","0.9078736","0.8158368","-0.429417311","0.63057781","3.521234","3.293678"," 0.7431522","1.920403","0.4743015","2.887160","2.559433","2.042467","3.300710","0.5644425","1.826006","2.114360","-3.643544e-02","1.8876073"," 1.20222302","0.9143906","2.404438","0.8206769","1.1035662","1.266160","1.1031408","1.0816502","2.941770","3.383673"," 0.074994721"," 1.2602839","0.6760480","1.3992697","0.8486886"," 0.072752851","2.424883","2.373377","0.7809998","2.314848","2.043596","1.3841160","2.339248","2.502007","2.231678","3.676602"," 0.188214209","2.365093","2.319349"," 0.190619655","1.0102306"
"174","P","1.616410"," 0.680401899","1.3092554"," 0.1449704428","1.0261707","1.581186","0.9060159","1.1541531","2.310675","1.813755"," 0.39674446"," 0.75648447","1.1576866","2.822387"," 0.84784866","2.279821","0.6708590","1.3880873"," 1.00399400","3.028575","1.805142","2.200000","3.647204","1.1688368","1.0835522","2.927044","1.991101","2.938326","2.927305","0.7033752","-0.178583258","1.3286398"," 0.2177704012"," 0.7341641975","2.029701","2.111867"," 1.224869371","1.4064316","1.525570","1.0509833","2.024395","1.8227703","2.295470","1.786432","0.51498082","1.7055218","3.916063","2.375371","3.513655","1.537543","0.6015970","1.7287408","1.0576263","1.4147048"," 1.31387135"," 0.636692073"," 0.6841060"," 0.4007722290","3.210555","2.016077","1.830305","2.065956","2.366157","1.5295970","1.1338834"," 1.129922292","0.89071847","3.610802","3.389318"," 0.9414588","2.124812","0.7369134","2.970881","2.735986","2.250399","3.649514","0.8670182","1.792714","2.072988"," 1.790625e-01","1.2868380"," 0.70356776","0.9605582","2.632831","0.8823126","1.1924887","1.606324","1.1105933","1.1216695","2.995982","3.505641","-0.007193574"," 0.9742315","0.7548485","1.3362899","0.9846531"," 0.454278686","2.526094","2.585162","0.9099592","2.335482","2.248073","1.4242735","2.369942","2.597290","2.393141","3.692884"," 0.412239927","2.463462","2.262967"," 0.486049152","1.0809164"
"175","P","1.510988"," 0.561385511","1.2699133"," 0.0964692973","1.0241686","1.559832","0.8714986","0.9280025","2.303772","1.720599"," 0.25061075"," 0.69466934","0.7883738","2.876837"," 1.11314113","2.242476","0.6515092","1.3151919"," 0.98216636","3.104076","1.833301","2.181095","3.394787","1.1559662","1.0103465","2.963307","1.897734","2.973678","2.945003","1.2106112","-0.198033263","1.2949028"," 0.0006514773","-0.0360008690","1.985722","2.132090"," 0.395384391","1.3600821","1.507555","1.0135765","1.943862","1.7363108","2.172773","1.691150","0.45321445","1.6230411","3.919329","2.437363","3.515067","1.290311","0.6768080","1.7241762","1.1285607","1.3366345"," 0.99944932"," 0.324642245"," 0.6847315","-0.3786219160","3.144034","2.097154","1.753121","2.144125","2.510056","0.8025019","1.1668845"," 0.860675044","0.81048847","3.614254","3.393728"," 0.8923270","2.089382","0.8661838","3.045037","2.590065","2.110411","3.276784","0.7884419","1.876778","2.138244"," 1.253876e-01","1.6821902"," 0.75241337","0.8513596","2.585784","0.8525170","1.1798646","1.300784","1.5333581","1.1263033","3.059164","3.431310"," 0.126049059"," 0.9867978","0.7506582","1.3724665","0.8398138"," 0.241000011","2.454009","3.682638","0.9712201","2.396739","2.165190","1.5014173","2.148323","2.553751","2.422689","3.791434"," 0.378871045","2.498911","2.464955"," 0.421084198","1.0231249"
"176","P","1.738258"," 0.706457965","1.5354602"," 0.3872068137","1.2046523","1.745660","1.0739318","1.1442323","2.489189","1.930926"," 0.48412226"," 0.85026658","1.0751281","3.074207"," 1.29849001","2.471229","0.8246935","1.5414654"," 1.36694597","3.319432","2.124624","2.367530","3.762791","1.4021504","1.1647909","3.142737","2.106094","3.203576","3.333129","1.3489381"," 0.228793476","1.5565787"," 0.3996892892"," 1.1751458354","2.179981","2.255644"," 0.925195950","1.5677816","1.683509","1.2190063","2.167887","2.0024668","2.319874","1.942732","0.74754425","1.8926291","4.081310","2.751163","3.702956","1.447743","0.8193954","2.0705720","1.6752669","1.5721429"," 1.07045707"," 0.220777032"," 0.9574629"," 0.0631851100","3.318848","2.352662","1.890994","2.214965","2.513853","1.5284170","1.3414713"," 0.800932328","0.90990495","3.757298","3.661322"," 0.9711364","2.232525","1.0141505","3.120653","2.798013","2.258812","3.145096","0.9786131","2.052009","2.409194"," 3.342177e-01","1.8448757"," 0.88595306","1.1957039","2.654137","1.1004441","1.3446400","1.497155","1.3248945","1.3342151","3.297203","3.659556"," 0.259498041"," 1.2916100","1.1518053","1.4182599","1.0361548"," 0.520014663","2.547652","3.806981","1.1579968","2.673068","2.319736","1.6964421","2.381951","2.868657","2.600850","4.026853"," 0.552639885","2.740968","2.475886"," 0.741317718","1.3561232"
"177","P","1.911361"," 0.924085640","1.7820109"," 0.4260160509","1.2679738","1.893008","1.2006815","2.0581957","2.697380","2.062731"," 0.66652442"," 1.05957163","1.0572026","3.019177"," 1.35060172","2.553082","1.0995686","1.6801703"," 1.70946562","3.446301","2.196145","2.328689","3.863848","1.4888909","1.2407314","3.300873","2.242847","3.117510","3.397102","1.4059336"," 0.198873418","1.6781839"," 0.3447842302"," 0.6701161753","2.292569","2.457764"," 0.767785426","1.6673980","1.823388","1.2324261","2.289032","2.1088252","2.519940","2.057587","0.75858338","2.0108853","4.149137","2.677372","3.800788","1.680007","0.9105008","2.3595873","1.5965800","1.6138906"," 0.61400459"," 0.168416537"," 0.9686183"," 0.4707630641","3.540194","2.381313","2.177925","2.105688","2.531784","1.5074301","1.1589004"," 1.116531284","1.09939471","3.853195","3.702078"," 0.9378622","2.027886","1.1291572","3.362614","3.016445","2.429680","3.858420","1.0650415","2.101255","2.467962"," 3.729523e-01","2.3421296"," 0.97224185","1.2093166","2.806849","1.2086232","1.4365599","1.620391","1.8323105","1.4409914","3.315495","3.736110"," 0.409853341"," 1.7896524","1.2698219","1.3884118","1.2458683"," 0.697370573","2.715786","2.950910","1.2560109","2.772020","2.551878","1.8173369","2.862223","2.975252","2.714586","4.084670"," 0.645597399","2.746777","2.563612"," 0.767785426","1.3998456"
"178","P","1.753896"," 0.964112973","1.5795397"," 0.5295743815","1.2034247","1.870560","1.2197831","0.9505388","2.578856","1.867181"," 0.54651510"," 1.18908785","1.2983092","3.078591"," 1.33373687","2.537157","1.0735131","1.6269063"," 1.31306847","3.564432","2.077405","2.583042","3.919919","1.5525052","1.1983213","3.316050","2.009976","3.190259","3.315728","1.3354761"," 0.249456144","1.5956854"," 0.3687911891"," 1.0650898274","2.277559","2.313393"," 0.989528799","1.7121037","1.775045","1.4079668","2.270890","2.1573463","2.577280","2.056431","0.76613297","1.9412252","4.127789","2.793740","3.800802","1.728893","0.8533182","2.0386180","1.6325681","1.6075694"," 1.46173385"," 0.835001585"," 0.9752133"," 0.0384708604","3.377562","2.426655","2.183932","2.602373","2.840297","1.0137958","1.3450500"," 1.122405520","1.02374701","3.812685","3.712096"," 1.0413431","2.224029","1.1450334","3.435538","2.814077","2.530359","3.519297","1.0423589","2.126068","2.421105"," 2.663596e-01","2.2096724"," 1.23755655","1.2632952","2.861200","1.0389546","1.3423284","1.713704","1.4083578","1.4421780","3.355207","3.679033"," 0.349656008"," 1.0965741","1.1513945","1.4296274","1.1971326"," 0.559396382","2.745355","3.760959","1.1920299","2.694008","2.587587","1.7287705","2.747501","2.946792","2.676716","4.129756"," 0.659347999","2.768399","2.636891"," 0.709790368","1.4158754"
"179","P","1.647359"," 0.638495750","1.2770437"," 0.1199496452","1.0131987","1.651195","0.9783226","0.8156333","2.414071","1.483668"," 0.54242453"," 0.68811074","0.9334950","2.868875"," 0.98455453","2.379159","0.8233501","1.4296365"," 0.91556938","3.291443","2.026963","2.060760","3.686078","1.2100567","1.1110980","3.043166","1.609511","3.127771","3.149477","1.0375178"," 0.022761756","1.3725416"," 0.2651545682"," 0.5951986168","2.109068","2.138671"," 0.807294902","1.4657727","1.618062","1.1333845","2.069947","1.9225549","2.330232","1.826729","0.57922394","1.7276255","3.959935","2.567008","3.613221","1.400250","0.8113074","1.8067784","1.3324318","1.4618616"," 2.05166036"," 0.829037645"," 0.8192884"," 0.5034988919","3.210253","2.190863","1.931244","1.918495","2.472684","0.9221630","0.9692457"," 1.203479829","0.72602184","3.631875","3.563037"," 0.8906764","1.972846","0.7122951","3.120948","2.578456","2.250130","2.935573","0.8434715","1.971418","2.320982"," 9.466387e-03","1.7330208"," 0.77768564","1.0674833","2.785309","0.7848632","1.2054468","1.372746","1.1828009","1.2136998","3.114270","3.542039"," 0.118209248"," 1.2527611","0.9619517","1.3193160","1.0368305"," 0.336000041","2.524586","3.892342","1.0779093","2.389402","2.254589","1.7230402","2.829845","2.741710","2.506953","3.880611"," 0.339270414","2.610394","2.338908"," 0.343920086","1.2225224"
"180","P","1.994562"," 0.931086524","1.6853323"," 0.5719642315","1.4000343","2.023691","1.3022630","1.7745376","2.824354","2.234068"," 0.62551799"," 1.21223284","1.5168677","3.271438"," 1.41468734","2.722748","0.9887128","1.8087223"," 1.27551731","3.689883","2.303751","2.460774","4.060617","1.5878057","1.4586604","3.281820","2.398069","3.536525","3.466909","1.2173214"," 0.415376368","1.8323022"," 0.5154226724"," 0.6912771201","2.427395","2.521236"," 1.072361194","1.8169542","1.923271","1.7505145","2.459040","1.9390001","2.735586","2.246905","0.98270422","1.3741714","4.266536","2.787419","3.975917","1.953848","1.3062716","1.9303377","1.6721606","1.7240756"," 1.52058304"," 0.703046682"," 1.1660290"," 0.5440662043","3.728546","2.563267","2.390427","2.362399","2.571335","1.5253517","1.2319940"," 1.040511916","0.94466307","3.965718","3.952673"," 0.9814222","2.109123","1.2687451","3.507266","3.178950","2.697408","3.256438","1.3076567","2.417076","2.619319"," 5.377538e-01","1.7490837"," 1.01167762","1.2973812","3.116274","1.3639768","1.5301884","1.780682","1.3492327","1.6943933","3.564592","3.926647"," 0.658355894"," 1.6497665","1.4132513","1.7672905","1.2710578"," 0.997916680","2.815692","3.847330","1.5270239","2.769433","2.511775","1.9842652","3.064789","3.139431","2.934249","4.216891"," 0.788437309","2.988782","2.558048"," 0.852443600","1.5922945"
"181","P","1.600676"," 0.563332359","1.3994940"," 0.0609496739","0.7690654","1.509908","0.7891981","0.8989243","2.363009","1.844641"," 0.07526318"," 0.82934529","1.1677358","2.836747"," 1.04728539","2.189080","0.5824579","1.3057109"," 0.73210970","3.189045","1.769670","2.171215","3.326874","0.9809446","0.9731215","2.945129","1.979241","3.055639","2.930447","0.4869345","-0.159079780","1.2938166"," 0.4217262906"," 0.5756011081","1.941312","1.600057"," 1.291503343","1.2939835","1.459746","1.0994241","1.972736","1.7067246","2.192062","1.754776","0.39710032","0.8463965","3.748080","2.196788","3.439748","1.381165","0.7611015","1.3913097","1.4160779","1.3828760"," 1.61855252"," 0.572751686"," 0.2782607"," 0.1137247142","3.165774","1.955515","1.881047","1.860926","2.309892","1.7109072","0.8216964"," 0.907074830","0.72430637","3.500552","3.148163"," 0.5492777","1.788561","0.4501328","2.819994","2.731710","2.142217","2.190571","0.6371105","1.706416","2.056684"," 2.003362e-01","1.4953445"," 0.71782287","0.6571922","2.652323","0.7527117","1.1121144","1.252049","0.8362984","1.2217617","2.986091","3.503879","-0.332308286"," 1.5506300","0.7735926","1.2218515","0.8300041"," 0.214278002","2.409614","2.767108","0.7131237","2.156555","2.114589","1.3011232","2.926330","2.074650","2.178878","3.659050"," 0.198954044","2.139009","2.258108"," 0.210474941","0.5767337"
"182","P","1.548538"," 0.414443053","1.1928176"," 0.0889174871","1.1057012","1.496375","0.8499072","1.4860636","2.125020","1.482555"," 0.25578329"," 0.75917439","1.2280498","2.811810"," 1.22619507","2.167368","0.7805311","1.2915640"," 0.80913787","3.226734","1.831839","2.216052","3.499693","1.2380901","1.0752222","3.045485","1.652463","2.926125","2.940678","0.9677576","-0.037029982","1.3229613"," 0.4385843895"," 0.7917517371","1.955303","2.170984"," 0.580592018","1.2990738","1.422703","1.3248604","1.961969","1.7213945","2.198336","1.743267","0.35854340","1.1526222","3.952024","2.455330","3.412849","1.444197","0.6170713","1.5923232","1.3803008","1.1875010"," 0.78633495"," 0.164667800"," 0.5929799","-0.6653410510","3.236534","2.121427","1.957263","1.831816","2.292660","0.6290502","1.0259611","-0.021742831","0.62228425","3.515516","3.419252"," 0.5492985","1.852931","0.7927797","3.047079","2.589091","2.177042","3.182022","0.8216118","1.863650","2.105447"," 4.027492e-02","1.4207067"," 0.82451276","0.9506173","2.599208","0.8775823","1.1015287","1.371685","1.1552591","1.2141447","3.038262","3.430060"," 0.255887894"," 1.4040407","0.7488255","1.2620354","0.7876709"," 0.511761632","2.527972","3.211234","0.9561033","2.144626","2.007690","1.4860255","1.898635","2.601795","2.363398","3.779946"," 0.504058887","2.432973","2.283569"," 0.389634202","0.9537780"
"184","P","1.589293"," 0.456553806","1.4012153"," 0.0529124532","0.9948233","1.509473","0.8099537","1.2410376","2.092503","1.782003"," 0.16397256"," 0.54369527","1.1827566","2.790969"," 0.69144172","2.175943","0.5205518","1.2580120"," 0.71559731","3.143444","1.777883","2.106618","3.473826","1.1077649","1.0114984","2.791774","1.930204","3.025221","2.915437","1.3923852","-0.098998063","1.2147516"," 0.2237745363"," 0.2847007252","1.954835","1.979292"," 0.295523196","1.2825774","1.463184","1.0828341","1.944569","1.5599675","2.144414","1.749459","0.36549657","1.0221807","3.889727","2.352550","3.441694","1.548748","0.8794955","1.4621863","1.3216182","1.2758253"," 1.30379169"," 1.020843845"," 0.5873279"," 0.4348171509","3.099496","2.043383","1.784326","1.848315","2.121763","0.7796484","1.2593304"," 0.881704936","0.75787977","3.548665","3.369536"," 0.9507084","2.076066","0.8263988","2.882763","2.792899","2.100523","3.439659","0.7883470","1.828763","2.064417"," 9.089856e-02","1.7657468"," 0.65796418","0.9623407","2.512332","0.7294007","1.1712299","1.455309","1.3507386","1.2112883","3.030012","3.465392","-0.054802341"," 1.1836633","0.7061524","1.4192113","0.7777408"," 0.287569972","2.430061","3.320467","0.9387389","2.296748","2.029604","1.3822971","2.353612","2.555179","2.449797","3.695728"," 0.162906908","2.299279","2.199427"," 0.253329226","0.9633233"
"186","P","1.588110"," 0.581064922","1.3701605"," 0.2415919981","0.9953360","1.618126","0.9506357","1.2156640","2.226473","1.656383"," 0.33765258"," 0.81336029","1.3201469","2.927119"," 0.97893566","2.364250","0.6473139","1.4274827"," 1.18751968","3.268411","1.889914","2.302171","3.534607","1.1918195","1.0576708","2.820794","1.847609","3.064389","3.081078","1.1263212"," 0.505926927","1.3677965"," 0.2389327878"," 0.7164575445","2.070764","2.040953"," 0.377252062","1.4452540","1.540292","1.3196152","2.097791","1.6671499","2.379145","1.888860","0.46543348","1.1747556","3.907141","2.408393","3.623391","1.864570","0.8958721","1.8526952","1.5045958","1.4629086"," 2.12000289"," 0.847592610"," 0.6212064","-0.5351851233","3.308405","2.030773","1.987034","2.546898","2.362159","0.8202040","0.9444597"," 0.265965070","0.81913822","3.586561","3.438957"," 1.0119324","2.117552","0.6298370","3.066451","2.761949","2.329872","3.304013","0.9378294","1.970737","2.194954"," 6.228079e-02","2.0927490"," 0.80654038","0.9264298","2.750063","0.9490448","1.1901455","1.888469","1.3638654","1.3533269","3.144129","3.618117","-0.247474240"," 1.0623677","0.8292340","1.1273346","0.9966245"," 0.609557345","2.601437","3.910927","1.0181613","2.359114","2.183039","1.6185840","2.723693","2.653475","2.461258","3.685603"," 0.440935954","2.449060","2.268609"," 0.481416942","1.0561012"
"187","P","1.775317"," 0.514964876","1.4316429"," 0.2087680119","1.0328234","1.628169","0.9633507","1.8405396","2.528699","1.670910"," 0.30432548"," 0.82906877","1.5422010","2.913062"," 1.20980565","2.344978","0.7501240","1.4176764"," 0.98866623","3.250299","1.901011","2.230648","3.641791","1.3070912","1.1649527","3.081762","1.840691","3.063662","3.206686","1.5630897"," 0.223652124","1.4078178"," 0.5330963655"," 0.4310653191","2.086661","2.324011"," 0.569736297","1.4544601","1.563815","1.2684200","2.081973","1.5908159","2.333560","1.857614","0.54696747","1.2315193","3.945457","2.584309","3.577004","1.754893","0.7713459","1.6229959","1.3523436","1.3516025"," 0.21495865","-0.079274995"," 0.7058123","-0.0850556957","3.408678","2.265681","2.001930","2.123627","2.267057","1.4741328","1.1521219"," 0.429843301","0.66277983","3.638046","3.546936"," 0.7836256","2.000348","1.0262871","3.119943","2.686250","2.310098","3.500500","1.0938125","1.964822","2.193004"," 2.704925e-01","1.8444162"," 0.85869782","0.8898683","2.681096","0.9866443","1.2128920","1.563431","1.3624198","1.3062838","3.168422","3.628866"," 0.243245501"," 1.0686054","1.0980652","1.3909389","0.9889513"," 0.508376638","2.561665","3.567463","1.1019107","2.478322","2.102571","1.5370675","2.939542","2.774069","2.568419","3.934014"," 0.489342797","2.610424","2.372878"," 0.468597726","1.1706509"
"188","P","1.468325"," 0.471319441","1.2274670","-0.0104373877","0.8274875","1.434904","0.8454355","1.9886346","1.940425","1.441989"," 0.12056290"," 0.77434438","1.1692475","2.546972"," 0.94635344","2.107848","0.5749351","1.2636901"," 0.88819867","3.127429","1.673524","2.070325","3.414532","1.0018655","0.9394323","2.856070","1.648960","2.877104","2.811537","0.9021575","-0.375821536","1.2989669"," 0.1189354787"," 0.6012904458","1.913131","2.082831"," 0.044104067","1.2693099","1.368036","1.0392803","1.915624","1.3727623","2.235989","1.733793","0.13633655","0.9361725","3.739940","2.436807","3.366304","1.568654","0.6857997","1.5750773","1.2235752","1.0256399"," 0.35085413","-0.378823296"," 0.5221995"," 0.0982370538","3.152510","2.002509","1.898498","1.647625","2.218815","0.8711650","0.6996379"," 0.682326704","0.48570326","3.440385","3.288062"," 0.6224911","1.752047","0.7098675","2.958127","2.367421","2.172815","3.473299","0.7836796","1.737187","1.959188","-8.181205e-02","1.6381274"," 0.45160920","0.6546125","2.522921","0.7140493","1.0379163","1.531189","1.0325689","1.1707133","2.968755","3.391891","-0.001808312"," 0.8364773","0.5821388","0.9783948","0.7232156"," 0.326194118","2.439973","3.208049","0.8791499","2.165578","2.065498","1.3190068","2.074486","2.505922","2.327604","3.672142"," 0.138617967","2.294935","2.188089"," 0.441912866","0.8807160"
"189","P","1.535810"," 0.146930596","1.2990257","-0.0827376844","0.7411868","1.227882","0.6151737","1.0291714","1.956700","1.543224","-0.02104223"," 0.51941311","1.0598504","2.675354"," 1.12373130","1.978349","0.3901451","1.1046591"," 0.71951062","2.815923","1.512505","1.930745","3.058917","0.8415434","0.7432871","2.703110","1.717252","2.726116","2.873379","1.0524841"," 0.226800161","1.0434091"," 0.4048283727","-0.0221099831","1.729701","1.671468"," 0.228199538","1.0736247","1.217308","0.9128112","1.746766","1.2125640","2.051026","1.518751","0.18772594","0.8666225","3.691715","2.344446","3.245581","1.466163","0.7970208","1.3679781","1.0249130","1.1245675"," 1.17339323"," 0.709967924"," 0.3544826","-0.9113627954","2.989729","1.988935","1.605372","1.889822","1.950257","0.9399414","0.6090961","-0.641483499","0.64849196","3.437378","3.188972"," 0.3130267","1.631461","0.7293463","2.754940","2.722907","1.974631","2.874571","0.4952898","1.632651","1.807908"," 1.763682e-01","1.6469594"," 0.58049047","0.6415251","2.232380","0.7589483","1.0434433","1.423502","0.9385908","0.9887420","2.835284","3.298044"," 0.064026578"," 0.8493782","0.5743699","1.3247688","0.5424904"," 0.276878977","2.225292","2.815408","0.6675032","2.157086","1.757530","1.0642828","2.737784","2.318991","2.121035","3.642666"," 0.057203935","2.234421","2.112446"," 0.230748812","0.6659610"
"190","P","1.802591"," 0.476508220","1.4251557"," 0.2552930381","1.1461135","1.605793","0.9541702","1.2015313","2.400436","1.749399"," 0.24551443"," 0.72169807","2.5987127","2.999253"," 0.92036828","2.362991","0.7660433","1.4344363"," 1.10375339","3.336907","1.981652","2.316281","3.696148","1.2348459","1.2202966","3.094981","1.920575","3.272030","3.222574","1.1055295"," 0.233513144","1.3667562"," 0.5048964140"," 0.8404311337","2.074190","2.314314"," 0.922287627","1.4499557","1.528210","1.3245726","2.121451","1.6770276","2.416300","1.904721","0.46920685","1.1591820","4.030524","2.604366","3.614232","1.682800","0.7900655","1.5740593","1.4702805","1.4920263"," 1.38341254"," 0.374939397"," 0.7053327"," 0.7612997894","3.450899","2.255283","1.940003","2.745476","2.322634","0.6736804","1.1946927"," 1.335072684","0.69775145","3.643208","3.531860"," 0.7924731","1.818710","0.9918680","3.118773","2.696630","2.356997","2.703372","0.8293070","1.985488","2.282624"," 2.747828e-01","1.3906028"," 0.73421224","1.0886044","2.736647","0.6975366","1.2297168","1.531729","1.6049635","1.3529212","3.162743","3.700779"," 0.196745071"," 1.1221433","1.0268403","1.3205182","1.0400009"," 0.591770569","2.556271","4.035820","0.9923425","2.421698","2.058309","1.5127530","2.769535","2.699131","2.459301","3.919807"," 0.494147485","2.478917","2.122059"," 0.378784781","1.0222548"
"191","P","1.668060"," 0.680568451","1.2525975"," 0.1824897479","1.0926509","1.682304","1.0001590","0.9503199","2.375759","1.667081"," 1.71767584"," 0.80756067","1.5704319","2.940251"," 0.93496589","2.413519","0.7466384","1.4400492"," 1.09648921","3.231390","1.952702","1.906520","3.646291","1.1407793","1.1466521","2.836999","1.843008","3.016280","3.058386","0.7226754"," 0.118997528","1.5122665"," 0.3464293815"," 0.8605599311","2.113865","2.156265"," 0.967437951","1.4463391","1.649147","1.3175234","2.126711","1.8054430","2.417026","1.875560","0.62785677","1.3684770","3.925911","1.910048","3.646365","1.674679","0.8234952","1.5692643","1.3919277","1.4076433"," 1.67967170"," 1.044652623"," 0.7013619"," 1.1045993601","3.415517","2.159918","2.066754","2.535642","2.340897","1.7780526","0.9419471"," 1.520271928","0.73641452","3.616585","3.453637"," 0.9424795","2.106968","0.7425337","3.196981","2.730361","2.372171","2.949611","0.7616726","2.066186","2.240096"," 1.052234e-01","1.7608207"," 0.71751224","0.8879225","2.774289","1.0011251","1.1670826","1.613809","1.4388189","1.3592631","3.041307","3.567868"," 0.083330530"," 1.1588188","0.9630200","1.2084838","1.0085098"," 0.616123321","2.532362","3.183568","1.0690100","2.292887","2.196594","1.6394890","2.512046","2.686651","2.587030","3.835248"," 0.291073468","2.488733","2.165372"," 0.408883812","1.0234796"
